,bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,yearbuilt,taxamount,fips
103,3.0,3.0,2728.0,789179.0,1987.0,10035.88,6111.0
104,3.0,2.0,1499.0,82798.0,1947.0,1179.62,6037.0
105,4.0,2.0,1570.0,249614.0,1958.0,3136.84,6037.0
106,4.0,3.0,2880.0,333437.0,1966.0,3382.26,6059.0
107,3.0,1.0,1080.0,60632.0,1948.0,771.77,6037.0
108,3.0,6.0,4664.0,2157425.0,1936.0,26237.34,6037.0
109,4.0,3.0,3304.0,524802.0,1989.0,6315.22,6111.0
110,3.0,2.0,1929.0,404643.0,1988.0,5133.61,6037.0
111,2.0,2.0,2294.0,439797.0,1985.0,4470.66,6059.0
112,4.0,2.0,1809.0,884199.0,1929.0,10606.78,6037.0
113,4.0,3.0,3215.0,579800.0,2004.0,10207.09,6037.0
114,3.0,2.0,1558.0,515000.0,1984.0,6618.75,6037.0
115,3.0,2.0,1938.0,385911.0,1971.0,4724.2,6059.0
116,3.0,3.0,3136.0,892864.0,1990.0,8984.56,6059.0
117,3.0,1.0,1306.0,78015.0,1930.0,1298.59,6037.0
118,2.0,1.0,1502.0,312262.0,1935.0,3920.73,6037.0
119,4.0,2.0,2016.0,639607.0,1969.0,7377.86,6059.0
120,3.0,3.0,2960.0,303621.0,1966.0,3726.03,6037.0
121,4.0,3.0,2379.0,622298.0,1977.0,7150.06,6059.0
122,3.0,2.0,1363.0,516832.0,1912.0,6187.76,6037.0
123,7.0,3.0,2985.0,366160.0,1959.0,4866.25,6037.0
124,0.0,0.0,,830145.0,,9354.84,6059.0
125,3.0,2.0,1633.0,176344.0,1951.0,2550.57,6037.0
126,5.0,4.0,4436.0,2249017.0,1984.0,25190.08,6059.0
127,3.0,2.5,2134.0,1794000.0,1995.0,19102.86,6059.0
128,3.0,3.5,3790.0,1185538.0,1978.0,13170.2,6059.0
129,4.0,2.0,1620.0,1590506.0,1934.0,17040.54,6059.0
130,2.0,2.0,919.0,585000.0,1994.0,7025.24,6059.0
131,3.0,2.0,1471.0,155328.0,1969.0,2632.76,6037.0
132,4.0,5.0,3912.0,1038000.0,2001.0,13422.89,6037.0
133,3.0,2.5,1604.0,388000.0,1981.0,4618.34,6059.0
134,4.0,3.0,2605.0,419999.0,1950.0,5117.98,6059.0
135,3.0,1.0,1076.0,61999.0,1955.0,1623.55,6037.0
136,3.0,2.0,1390.0,169687.0,1969.0,2127.6,6059.0
137,4.0,3.0,1682.0,77610.0,1947.0,991.07,6037.0
138,6.0,5.5,2837.0,524638.0,2008.0,6217.76,6059.0
139,4.0,2.5,2419.0,398434.0,1978.0,4108.18,6059.0
140,5.0,4.0,2834.0,766451.0,1996.0,9291.18,6059.0
141,3.0,3.5,3227.0,947513.0,2007.0,17012.62,6059.0
142,3.0,1.5,1153.0,423359.0,1954.0,5021.2,6059.0
143,3.0,1.5,1180.0,200356.0,1973.0,2522.24,6059.0
144,6.0,4.0,3733.0,799634.0,1999.0,10794.22,6059.0
145,3.0,1.0,1214.0,61124.0,1949.0,1345.64,6037.0
146,3.0,2.0,1576.0,116226.0,1958.0,1798.68,6059.0
147,3.0,2.0,1357.0,239875.0,1959.0,3169.92,6059.0
148,2.0,1.0,688.0,279193.0,1927.0,3153.44,6111.0
149,3.0,2.0,1568.0,342300.0,1920.0,4263.48,6037.0
150,3.0,2.5,1913.0,632193.0,1978.0,7142.36,6059.0
151,3.0,4.0,2074.0,757578.0,1931.0,8953.57,6037.0
152,3.0,2.0,1666.0,808662.0,1938.0,10806.79,6037.0
153,4.0,3.0,1737.0,137933.0,1987.0,2666.02,6037.0
154,3.0,2.5,2022.0,438991.0,1998.0,5046.5,6059.0
155,5.0,4.5,3567.0,891736.0,1995.0,9973.14,6059.0
156,3.0,2.0,1495.0,72166.0,1965.0,1268.29,6037.0
157,3.0,1.0,1720.0,96224.0,1946.0,1216.03,6037.0
158,3.0,1.0,1103.0,234051.0,1947.0,4476.84,6037.0
159,4.0,3.0,2208.0,231896.0,1998.0,4530.88,6037.0
160,3.0,2.0,1590.0,92344.0,1962.0,1531.02,6059.0
161,4.0,2.5,1866.0,344422.0,1995.0,3635.06,6111.0
162,4.0,2.5,2303.0,736753.0,1964.0,8006.42,6059.0
163,3.0,1.0,1084.0,244680.0,1953.0,3557.49,6037.0
164,2.0,1.5,1162.0,394456.0,1972.0,4686.02,6059.0
165,3.0,2.0,1369.0,289965.0,1954.0,3411.58,6059.0
166,3.0,2.5,1766.0,292122.0,1981.0,3536.26,6059.0
167,3.0,2.5,2228.0,461107.0,1950.0,5254.16,6111.0
168,4.0,3.0,3309.0,1452674.0,1989.0,14914.64,6059.0
169,3.0,2.0,1635.0,395024.0,1963.0,4766.66,6059.0
170,6.0,6.0,3659.0,2010195.0,1950.0,22708.18,6037.0
171,4.0,2.0,1303.0,395808.0,1960.0,4933.16,6037.0
172,3.0,2.0,1479.0,98489.0,1977.0,1211.96,6111.0
173,2.0,1.0,984.0,271911.0,1948.0,3372.75,6037.0
174,6.0,3.0,1875.0,136310.0,1958.0,1847.28,6059.0
175,2.0,1.0,867.0,544000.0,1939.0,6606.57,6037.0
176,2.0,1.0,930.0,227111.0,1902.0,2841.43,6037.0
177,2.0,5.0,2322.0,677957.0,1987.0,8370.78,6059.0
178,4.0,3.0,2952.0,1201278.0,1941.0,13740.95,6037.0
179,5.0,4.0,3577.0,889200.0,1952.0,10329.89,6037.0
180,3.0,2.0,1883.0,208389.0,2001.0,3422.28,6037.0
181,2.0,1.0,660.0,292207.0,1912.0,3652.06,6037.0
182,3.0,2.0,1185.0,382723.0,1956.0,5059.92,6111.0
183,3.0,1.5,1181.0,487320.0,1953.0,5194.18,6111.0
184,4.0,2.0,2024.0,152505.0,1990.0,3073.46,6037.0
185,3.0,2.0,1208.0,363636.0,1953.0,4457.36,6037.0
186,4.0,2.5,2357.0,748968.0,1995.0,7526.84,6059.0
187,3.0,3.0,2202.0,246800.0,1990.0,4012.74,6037.0
188,5.0,6.0,5147.0,1531397.0,2003.0,19653.1,6037.0
189,3.0,2.0,1219.0,461938.0,1960.0,5254.7,6059.0
190,2.0,2.0,1192.0,403729.0,1950.0,4851.53,6037.0
191,2.0,1.0,848.0,283252.0,1996.0,2873.74,6059.0
192,3.0,2.0,1414.0,610813.0,1970.0,6608.94,6111.0
193,2.0,2.0,1099.0,148381.0,1949.0,1895.58,6059.0
194,3.0,2.5,1800.0,530000.0,1978.0,6011.78,6059.0
195,4.0,2.0,1410.0,363100.0,1964.0,5018.04,6037.0
196,3.0,2.0,1794.0,887658.0,1957.0,10232.1,6037.0
197,3.0,2.0,1240.0,99300.0,1956.0,1959.82,6037.0
198,4.0,2.0,1424.0,567000.0,1962.0,6205.6,6059.0
199,3.0,2.0,1994.0,365635.0,1985.0,5124.75,6037.0
200,3.0,2.0,1420.0,194716.0,1930.0,2405.15,6037.0
201,3.0,2.0,1224.0,566000.0,1972.0,5916.02,6059.0
202,4.0,3.0,2918.0,330191.0,1967.0,3420.94,6059.0
203,3.0,2.0,1248.0,457701.0,1922.0,5627.39,6037.0
204,5.0,4.5,4331.0,833555.0,2002.0,13730.58,6059.0
205,4.0,3.0,1978.0,539007.0,2006.0,6447.66,6111.0
206,3.0,2.0,1252.0,431481.0,1957.0,5303.28,6059.0
207,3.0,2.0,1440.0,47377.0,1961.0,1004.78,6037.0
208,3.0,1.0,955.0,386728.0,1953.0,5003.53,6037.0
209,3.0,3.0,3080.0,1065000.0,1989.0,11455.28,6111.0
210,1.0,3.0,1619.0,1664376.0,1949.0,19508.3,6037.0
211,4.0,2.0,1859.0,353811.0,1979.0,3922.36,6111.0
212,3.0,2.0,1215.0,65276.0,1963.0,911.75,6037.0
213,3.0,2.0,1930.0,758649.0,1927.0,9278.74,6037.0
214,3.0,2.0,1956.0,2715793.0,1927.0,31517.01,6037.0
215,3.0,2.0,1372.0,208369.0,1967.0,2247.28,6111.0
216,2.0,1.0,1348.0,380605.0,1951.0,4166.66,6037.0
217,4.0,3.0,1555.0,253993.0,1972.0,3546.72,6037.0
218,2.0,2.0,1687.0,754468.0,1920.0,9150.68,6037.0
219,4.0,3.0,2409.0,2100270.0,1927.0,24460.03,6037.0
220,2.0,2.0,1824.0,134364.0,1954.0,1557.74,6037.0
221,4.0,1.0,1076.0,389000.0,1956.0,4907.53,6037.0
222,4.0,3.0,2709.0,522875.0,1956.0,6676.38,6037.0
223,3.0,2.0,1561.0,417131.0,1959.0,5011.92,6037.0
224,3.0,2.0,1192.0,288933.0,1954.0,3602.12,6037.0
225,3.0,2.0,1395.0,388006.0,1951.0,4912.38,6037.0
226,6.0,5.0,6249.0,3681324.0,1924.0,44772.63,6037.0
227,1.0,1.0,528.0,342000.0,1929.0,4144.87,6037.0
228,4.0,2.0,1425.0,285867.0,1951.0,3669.76,6037.0
229,2.0,1.0,1184.0,506000.0,1950.0,5991.38,6037.0
230,4.0,4.0,3031.0,652684.0,1959.0,8386.02,6037.0
231,3.0,2.0,1068.0,47535.0,1959.0,567.16,6111.0
232,2.0,1.0,1246.0,63529.0,1956.0,909.72,6037.0
233,3.0,2.5,1921.0,564000.0,1989.0,6605.26,6111.0
234,3.0,2.0,1128.0,169738.0,1951.0,2082.42,6037.0
235,3.0,2.0,1215.0,334953.0,1968.0,4118.8,6037.0
236,3.0,2.0,1583.0,649101.0,1940.0,7145.23,6037.0
237,3.0,2.5,1371.0,410786.0,2012.0,4859.58,6111.0
238,2.0,2.0,2010.0,416283.0,1940.0,5243.02,6037.0
239,4.0,2.0,1436.0,337048.0,1964.0,3994.22,6111.0
240,3.0,2.0,1194.0,403856.0,1964.0,4706.88,6111.0
241,3.0,2.0,1547.0,255887.0,1956.0,3244.38,6037.0
242,3.0,3.0,2287.0,900430.0,1976.0,11037.21,6037.0
243,5.0,4.0,4782.0,507758.0,1929.0,6592.66,6037.0
244,3.0,2.0,2306.0,2181870.0,1959.0,26331.31,6037.0
245,2.0,1.0,950.0,284270.0,1954.0,3551.85,6037.0
246,3.0,1.0,1056.0,137491.0,1952.0,1814.69,6037.0
247,3.0,1.0,805.0,41366.0,1952.0,571.78,6037.0
248,2.0,1.0,1108.0,171648.0,1972.0,2349.7,6111.0
249,3.0,2.0,1418.0,397998.0,1973.0,4047.48,6059.0
250,3.0,2.0,1410.0,78030.0,1953.0,1107.05,6037.0
251,4.0,2.5,1660.0,561445.0,1989.0,7464.02,6059.0
252,3.0,2.0,1313.0,210496.0,1913.0,2685.42,6037.0
253,3.0,3.0,1499.0,409989.0,1988.0,5103.52,6037.0
254,4.0,2.0,1422.0,282832.0,1953.0,3563.06,6037.0
255,3.0,2.0,1770.0,528120.0,1961.0,5656.2,6111.0
256,3.0,2.0,1257.0,213246.0,1953.0,2654.36,6037.0
257,3.0,2.0,1482.0,274539.0,1977.0,3452.46,6059.0
258,2.0,1.0,725.0,189320.0,1950.0,2411.42,6037.0
259,4.0,2.0,1848.0,64712.0,1952.0,781.0,6111.0
260,4.0,3.0,2601.0,1066012.0,1969.0,13114.53,6037.0
261,3.0,2.5,2053.0,784633.0,2010.0,8845.74,6111.0
262,3.0,3.0,2160.0,1017322.0,1949.0,11404.15,6037.0
263,4.0,3.0,3316.0,1092550.0,1986.0,12243.98,6037.0
264,3.0,2.0,1157.0,918474.0,1960.0,10348.0,6111.0
265,3.0,2.5,2004.0,579707.0,2013.0,6571.04,6111.0
266,4.0,3.0,1335.0,470060.0,1950.0,5826.95,6037.0
267,2.0,2.0,1430.0,381638.0,1952.0,4692.27,6037.0
268,4.0,3.0,2672.0,461232.0,1942.0,5563.18,6037.0
269,2.0,3.0,1723.0,568508.0,1993.0,7187.6,6059.0
270,3.0,2.0,1628.0,372230.0,1954.0,4355.01,6037.0
271,3.0,2.0,2037.0,479000.0,1962.0,12320.6,6111.0
272,3.0,2.0,1128.0,591000.0,1963.0,6863.14,6059.0
273,4.0,2.0,1714.0,837386.0,1949.0,9615.29,6037.0
274,5.0,3.0,2748.0,534535.0,1965.0,6744.08,6037.0
275,2.0,2.0,1018.0,296969.0,1958.0,4158.16,6037.0
276,2.0,1.0,882.0,288725.0,1952.0,3602.79,6037.0
277,3.0,2.0,2718.0,297213.0,1947.0,3393.84,6037.0
278,2.0,2.0,1274.0,260055.0,1953.0,3289.17,6037.0
279,2.0,1.0,1144.0,423249.0,1959.0,4998.58,6037.0
280,3.0,2.0,1821.0,669406.0,1955.0,7645.99,6037.0
281,4.0,2.5,1748.0,69834.0,1968.0,1112.86,6059.0
282,4.0,3.0,2474.0,696000.0,2000.0,7847.86,6111.0
283,4.0,2.0,1767.0,79089.0,1953.0,1277.68,6037.0
284,4.0,4.0,3186.0,651462.0,1977.0,7274.26,6059.0
285,3.0,2.0,1625.0,392155.0,1950.0,4824.27,6037.0
286,3.0,2.0,2090.0,427300.0,1926.0,5220.54,6037.0
287,1.0,1.0,784.0,188067.0,1952.0,2357.43,6037.0
288,2.0,2.0,1263.0,195034.0,1949.0,2821.34,6037.0
289,3.0,2.0,1134.0,168328.0,1987.0,2085.99,6037.0
290,4.0,2.0,1815.0,280235.0,1955.0,3794.04,6037.0
291,3.0,2.0,1463.0,177864.0,1955.0,2179.9,6037.0
292,3.0,2.0,2159.0,823627.0,1962.0,9548.52,6037.0
293,2.0,2.0,2103.0,1647189.0,1963.0,19835.11,6037.0
294,3.0,2.5,1797.0,1024285.0,2007.0,11347.62,6059.0
295,6.0,4.5,3523.0,670951.0,1969.0,7559.04,6059.0
296,3.0,2.0,1801.0,468398.0,1972.0,6380.86,6037.0
297,3.0,2.0,1440.0,236776.0,1971.0,2781.54,6059.0
298,3.0,2.0,1416.0,72681.0,1961.0,1490.38,6037.0
299,5.0,4.0,2672.0,367029.0,1977.0,4340.04,6037.0
300,5.0,4.0,3155.0,1332579.0,1939.0,15586.3,6037.0
301,4.0,2.0,1808.0,124623.0,1940.0,1633.19,6037.0
302,4.0,3.0,3443.0,885472.0,1997.0,10263.16,6059.0
303,3.0,4.0,2821.0,227267.0,1978.0,3023.68,6037.0
304,3.0,2.0,1097.0,195421.0,1961.0,2474.58,6111.0
305,3.0,2.0,1785.0,72293.0,1966.0,1053.98,6059.0
306,2.0,1.0,972.0,319803.0,1920.0,4204.95,6037.0
307,3.0,2.0,1635.0,357429.0,1953.0,4246.67,6037.0
308,3.0,1.0,1181.0,336441.0,1895.0,4253.64,6037.0
309,3.0,1.0,1210.0,525000.0,1953.0,6251.2,6037.0
310,2.0,1.0,966.0,330000.0,1939.0,4454.17,6037.0
311,2.0,1.0,1720.0,214783.0,1952.0,2862.12,6037.0
312,3.0,3.0,1944.0,1089314.0,1952.0,12817.65,6037.0
313,4.0,2.0,1666.0,175276.0,1988.0,3214.91,6037.0
314,3.0,3.0,1916.0,430707.0,1954.0,5311.27,6037.0
315,4.0,2.0,1464.0,70365.0,1971.0,1162.07,6037.0
316,4.0,2.0,1696.0,639957.0,1941.0,7687.15,6037.0
317,3.0,2.5,1718.0,485230.0,1983.0,5602.64,6059.0
318,3.0,2.0,1403.0,85712.0,1956.0,1303.83,6037.0
319,8.0,9.0,8837.0,3350689.0,1951.0,40688.11,6037.0
320,3.0,1.0,1066.0,70720.0,1947.0,1144.46,6037.0
321,3.0,2.0,1272.0,474325.0,1963.0,5484.5,6059.0
322,3.0,1.0,986.0,42966.0,1953.0,1184.78,6037.0
323,2.0,1.0,929.0,96558.0,1947.0,1328.13,6037.0
324,2.0,1.0,1058.0,142945.0,1941.0,1889.97,6037.0
325,4.0,3.0,2304.0,114768.0,1964.0,1513.74,6059.0
326,4.0,3.0,2966.0,2537058.0,1930.0,29687.85,6037.0
327,4.0,3.0,2453.0,729964.0,1984.0,8846.78,6037.0
328,3.0,2.5,1641.0,790879.0,2000.0,8848.38,6059.0
329,4.0,3.0,2170.0,599000.0,1990.0,7616.56,6037.0
330,2.0,2.0,1055.0,155328.0,1989.0,2608.09,6037.0
331,2.0,1.0,945.0,206164.0,1949.0,2815.73,6037.0
332,3.0,2.0,1110.0,506000.0,1950.0,6111.23,6037.0
333,2.0,1.0,1010.0,36612.0,1924.0,622.38,6037.0
334,4.0,3.5,2475.0,526182.0,1987.0,6804.8,6111.0
335,3.0,2.0,1141.0,281851.0,1983.0,3102.24,6111.0
336,3.0,2.0,1279.0,420300.0,1984.0,5690.45,6037.0
337,3.0,3.0,2910.0,147617.0,1964.0,2405.42,6037.0
338,4.0,2.0,1582.0,474661.0,1958.0,5753.28,6059.0
339,3.0,2.0,1125.0,57736.0,1960.0,1010.27,6037.0
340,2.0,1.0,1248.0,229710.0,1948.0,3757.73,6037.0
341,3.0,1.5,1256.0,336581.0,1954.0,4318.84,6059.0
342,4.0,2.0,2432.0,749463.0,1940.0,9249.57,6037.0
343,3.0,2.0,1285.0,215125.0,1954.0,2630.45,6037.0
344,5.0,3.0,2447.0,358494.0,1970.0,6392.05,6037.0
345,5.0,5.0,3791.0,866566.0,1957.0,10050.19,6037.0
346,2.0,2.0,1369.0,870133.0,1951.0,10418.51,6037.0
347,3.0,3.0,2449.0,227816.0,1985.0,3440.71,6037.0
348,4.0,2.0,2389.0,311590.0,1975.0,4199.63,6037.0
349,4.0,2.0,1477.0,69536.0,1963.0,1008.92,6059.0
350,4.0,2.0,1500.0,71860.0,1962.0,783.4,6111.0
351,5.0,4.5,4677.0,2573126.0,2011.0,27600.08,6111.0
352,5.0,6.0,6611.0,3338605.0,2006.0,35719.5,6111.0
353,3.0,2.0,1190.0,64866.0,1955.0,973.16,6059.0
354,4.0,2.0,1352.0,52761.0,1955.0,1001.69,6037.0
355,4.0,3.0,3179.0,393953.0,1957.0,4728.4,6037.0
356,3.0,3.0,1914.0,154941.0,1954.0,1951.1,6037.0
357,4.0,3.0,1852.0,239900.0,1993.0,3768.98,6037.0
358,4.0,2.0,2034.0,91287.0,1956.0,1451.3,6037.0
359,4.0,2.0,1897.0,615000.0,1975.0,7532.19,6037.0
360,5.0,3.0,2655.0,198021.0,1954.0,2693.55,6037.0
361,2.0,1.0,868.0,58966.0,1950.0,891.99,6037.0
362,4.0,4.0,3321.0,3725000.0,1960.0,39443.34,6059.0
363,5.0,3.0,2663.0,379292.0,1981.0,4446.46,6111.0
364,4.0,2.5,2743.0,646706.0,1978.0,7358.42,6059.0
365,3.0,2.0,1450.0,300961.0,1964.0,3717.86,6037.0
366,3.0,1.0,2020.0,117672.0,1913.0,1698.1,6037.0
367,3.0,2.0,1099.0,1160000.0,1953.0,14017.04,6037.0
368,4.0,2.5,1844.0,83673.0,1966.0,905.26,6111.0
369,3.0,2.0,1490.0,147160.0,1953.0,1947.54,6037.0
370,3.0,2.0,1533.0,259512.0,1952.0,3673.94,6037.0
371,7.0,6.0,4874.0,1036230.0,1967.0,12738.36,6037.0
372,3.0,2.0,1689.0,454832.0,2014.0,5694.0,6037.0
373,3.0,2.0,1120.0,226877.0,1976.0,3062.09,6037.0
374,3.0,2.5,2336.0,809261.0,1980.0,8764.1,6111.0
375,4.0,3.0,2208.0,347440.0,1977.0,4252.23,6037.0
376,3.0,2.0,1456.0,431481.0,1923.0,5097.32,6059.0
377,4.0,3.0,2155.0,446745.0,1988.0,5875.64,6037.0
378,4.0,3.0,2235.0,727687.0,1989.0,9305.7,6037.0
379,3.0,2.5,1630.0,379778.0,1992.0,4512.78,6059.0
380,3.0,3.0,2162.0,107237.0,1933.0,1665.89,6037.0
381,4.0,3.0,2595.0,1055732.0,1968.0,12093.33,6037.0
382,4.0,2.5,3062.0,414681.0,1969.0,4803.9,6059.0
383,3.0,2.0,1306.0,366882.0,1958.0,4778.24,6037.0
384,3.0,3.0,3021.0,1352521.0,1952.0,16196.41,6037.0
385,4.0,2.0,1168.0,280000.0,1947.0,3840.55,6037.0
386,3.0,2.0,1400.0,81339.0,1955.0,1217.19,6037.0
387,3.0,1.0,1210.0,503000.0,1952.0,6236.01,6037.0
388,3.0,2.0,1162.0,94034.0,1972.0,1377.5,6059.0
389,3.0,2.0,1231.0,508000.0,1959.0,6227.78,6059.0
390,3.0,2.0,1251.0,500000.0,1952.0,6052.03,6037.0
391,4.0,2.0,1624.0,108886.0,1947.0,1416.11,6037.0
392,7.0,8.0,5906.0,6620375.0,1952.0,79362.36,6037.0
393,3.0,2.0,1110.0,339526.0,1962.0,3660.9,6111.0
394,5.0,3.0,2271.0,909178.0,1988.0,11067.22,6037.0
395,2.0,2.0,1271.0,119577.0,1955.0,1502.78,6037.0
